642 1280
-18.886750 13.439146 74.877186
-24.864024 72.980526 9.300655
-33.204167 -60.327812 -64.024029
-34.483846 60.578888 -68.439248
-21.341552 -68.026222 30.033873
-20.214880 -50.081598 54.302835
-20.064946 50.184498 52.534751
-21.373046 67.597962 28.503863
-25.210837 -76.876952 -36.612489
-25.155649 74.238980 -38.283937
-16.081203 -21.704944 71.230718
-29.396747 -11.309244 -78.190470
-29.412950 10.290944 -78.497928
-16.058702 23.702113 70.532423
-22.019747 -79.215306 -17.750126
-29.988859 -49.534033 -73.036320
-30.207989 47.682528 -74.842562
-21.912891 76.626367 -19.465638
-16.549313 -58.542138 46.017450
-16.505119 58.437430 44.443166
-19.533838 -77.532051 0.517731
-19.377653 75.060436 -1.288417
-23.105126 -71.328740 -45.552146
-23.066020 68.740362 -47.094499
-16.374066 -72.612924 20.019917
-13.024761 -32.895305 66.391285
-24.724325 -0.332699 -79.712885
-12.927272 33.948954 64.644485
-16.448215 72.166495 18.468768
-23.880668 -33.021265 -71.638360
-24.216351 31.950169 -73.739378
-12.973827 -64.852762 37.372692
-13.011666 64.925445 36.059765
-8.713242 -4.218764 73.569835
-8.740526 7.020045 74.245378
-17.517433 -79.286722 -28.737321
-20.897319 -65.885194 -56.510747
-20.713558 62.613296 -57.324316
-17.483722 76.730978 -30.487062
-9.736941 -43.563374 59.850943
-9.683204 43.900113 57.904280
-14.091930 -79.039614 -9.151783
-19.301004 -20.320702 -72.074474
-19.403579 19.257489 -73.093168
-14.019058 76.466585 -10.900220
-11.268556 -76.490527 9.717889
-5.842410 -14.131873 71.064955
-5.833764 16.857811 72.560676
-11.230341 74.590137 7.864953
-17.115872 -53.672310 -63.020525
-17.331375 52.476338 -65.492687
-8.187199 -70.095806 28.244951
-6.444383 -53.217616 52.298183
-6.439864 52.792630 50.147013
-8.213307 70.307696 26.970889
-15.596398 -9.734868 -73.874607
-15.554831 8.829497 -73.772803
-12.330446 -76.641981 -39.525044
-12.361056 74.525535 -41.495262
-2.688107 -25.055702 68.484096
-2.676557 27.008732 68.102804
-9.212582 -79.355684 -19.761886
-13.016658 -39.394119 -65.668790
-13.128184 38.252384 -67.635515
-9.216636 77.334093 -21.628938
-3.362122 -60.554947 43.570815
-3.384070 60.101599 41.807268
-6.178966 -78.174340 -0.577657
-11.623893 -0.188387 -67.433019
-0.011466 1.464031 73.175777
-6.178966 76.233422 -2.392239
-9.048845 -70.812108 -49.169773
-9.105382 69.650926 -51.776039
-3.031389 -73.928895 18.271678
0.813925 -35.917824 63.435466
0.722046 36.794427 61.733364
-3.025772 73.006945 16.578631
-8.928482 -25.838750 -65.566757
-9.029835 25.466992 -68.542664
-0.230821 -66.070800 34.994988
-0.194794 66.082789 33.658251
3.719298 -7.656041 71.780542
3.846203 10.347425 72.507295
-3.041909 -77.703591 -30.868472
-4.766129 -61.300330 -57.781271
-4.721142 60.806553 -61.031393
-2.968373 77.135963 -33.398048
4.502767 -45.715143 56.304256
4.389522 46.069463 54.618524
-0.016633 -77.206558 -10.573325
-5.314936 -15.213733 -67.875466
-5.281130 14.822326 -70.832579
0.073615 76.467189 -12.525503
2.570044 -75.281047 7.938188
7.721481 -17.644681 69.294288
7.729628 19.807100 68.895525
2.694609 74.987370 6.293980
-0.458483 -49.175892 -64.341315
-0.292245 48.460413 -67.331810
5.409465 -70.173629 25.699781
7.803161 -54.105932 48.283912
7.734981 54.197991 46.771497
5.469062 69.783241 24.190648
-2.073030 -5.655982 -69.855295
-2.060318 5.040384 -70.192832
3.566771 -74.479822 -41.873716
3.852442 74.114741 -44.829193
11.789473 -28.093512 65.339105
11.408931 29.159334 63.257803
6.601453 -76.166267 -21.308263
3.587584 -36.634643 -69.555425
12.196081 1.434171 70.634942
3.829504 35.747871 -72.102562
6.979907 76.298809 -23.713191
10.631034 -61.000864 40.123145
10.623880 60.893590 38.673248
8.932988 -75.075752 -1.862119
9.314678 75.360927 -3.661556
8.735769 -68.815914 -52.351768
9.126040 68.038808 -55.311953
10.618313 -72.146349 15.766406
15.191103 -37.553374 58.544960
14.861933 38.152645 56.737234
10.850243 72.075333 14.298180
16.631707 -8.102797 68.278684
6.919509 -23.836619 -71.819106
16.711687 10.608742 68.303102
7.269899 23.094430 -74.259291
12.873290 -66.113709 32.102472
12.764268 65.290699 30.370408
13.310324 -73.459975 -32.209872
14.225014 -60.436960 -62.910604
15.179226 60.682403 -67.239296
13.950406 73.581857 -34.974959
18.259342 -46.308269 51.344564
17.969695 46.463876 49.634487
15.584720 -73.614183 -11.940825
21.039701 -18.291453 64.493970
9.464070 -12.217264 -72.031130
9.692878 -0.256225 -73.205494
9.713091 11.472276 -73.434655
20.773949 20.115995 63.400407
16.499290 74.873047 -14.161089
17.277611 -72.465793 6.792843
18.072448 73.595380 5.328375
18.562682 -47.517226 -69.740012
